"Key num" "MIDI mesg" Frequency "Note name"
99 119 7902.133 b′′′′′
98 118 7458.620 a♯′′′′′/b♭′′′′′
97 117 7040.000 a′′′′′
96 116 6644.875 g♯′′′′′/a♭′′′′′
95 115 6271.927 g′′′′′
94 114 5919.911 f♯′′′′′/g♭′′′′′
93 113 5587.652 f′′′′′
92 112 5274.041 e′′′′′
91 111 4978.032 d♯′′′′′/e♭′′′′′
90 110 4698.636 d′′′′′
89 109 4434.922 c♯′′′′′/d♭′′′′′
88 108 4186.009 c′′′′′
87 107 3951.066 b′′′′
86 106 3729.310 a♯′′′′/b♭′′′′
85 105 3520.000 a′′′′
84 104 3322.438 g♯′′′′/a♭′′′′
83 103 3135.963 g′′′′
82 102 2959.955 f♯′′′′/g♭′′′′
81 101 2793.826 f′′′′
80 100 2637.020 e′′′′
79 99 2489.016 d♯′′′′/e♭′′′′
78 98 2349.318 d′′′′
77 97 2217.461 c♯′′′′/d♭′′′′
76 96 2093.005 c′′′′
75 95 1975.533 b′′′
74 94 1864.655 a♯′′′/b♭′′′
73 93 1760.000 a′′′
72 92 1661.219 g♯′′′/a♭′′′
71 91 1567.982 g′′′
70 90 1479.978 f♯′′′/g♭′′′
69 89 1396.913 f′′′
68 88 1318.510 e′′′
67 87 1244.508 d♯′′′/e♭′′′
66 86 1174.659 d′′′
65 85 1108.731 c♯′′′/d♭′′′
64 84 1046.502 c′′′
63 83 987.7666 b′′
62 82 932.3275 a♯′′/b♭′′
61 81 880.0000 a′′
60 80 830.6094 g♯′′/a♭′′
59 79 783.9909 g′′
58 78 739.9888 f♯′′/g♭′′
57 77 698.4565 f′′
56 76 659.2551 e′′
55 75 622.2540 d♯′′/e♭′′
54 74 587.3295 d′′
53 73 554.3653 c♯′′/d♭′′
52 72 523.2511 c′′
51 71 493.8833 b′
50 70 466.1638 a♯′/b♭′
49 69 440.0000 a′
48 68 415.3047 g♯′/a♭′
47 67 391.9954 g′
46 66 369.9944 f♯′/g♭′
45 65 349.2282 f′
44 64 329.6276 e′
43 63 311.1270 d♯′/e♭′
42 62 293.6648 d′
41 61 277.1826 c♯′/d♭′
40 60 261.6256 c′
39 59 246.9417 b
38 58 233.0819 a♯/b♭
37 57 220.0000 a
36 56 207.6523 g♯/a♭
35 55 195.9977 g
34 54 184.9972 f♯/g♭
33 53 174.6141 f
32 52 164.8138 e
31 51 155.5635 d♯/e♭
30 50 146.8324 d
29 49 138.5913 c♯/d♭
28 48 130.8128 c
27 47 123.4708 B
26 46 116.5409 A♯/B♭
25 45 110.0000 A
24 44 103.8262 G♯/A♭
23 43 97.99886 G
22 42 92.49861 F♯/G♭
21 41 87.30706 F
20 40 82.40689 E
19 39 77.78175 D♯/E♭
18 38 73.41619 D
17 37 69.29566 C♯/D♭
16 36 65.40639 C
15 35 61.73541 B͵
14 34 58.27047 A♯͵/B♭͵
13 33 55.00000 A͵
12 32 51.91309 G♯͵/A♭͵
11 31 48.99943 G͵
10 30 46.24930 F♯͵/G♭͵
9 29 43.65353 F͵
8 28 41.20344 E͵
7 27 38.89087 D♯͵/E♭͵
6 26 36.70810 D͵
5 25 34.64783 C♯͵/D♭͵
4 24 32.70320 C͵
3 23 30.86771 B͵͵
2 22 29.13524 A♯͵͵/B♭͵͵
1 21 27.50000 A͵͵
0 20 25.95654 G♯͵͵/A♭͵͵
−1 19 24.49971 G͵͵
−2 18 23.12465 F♯͵͵/G♭͵͵
−3 17 21.82676 F͵͵
−4 16 20.60172 E͵͵
−5 15 19.44544 D♯͵͵/E♭͵͵
−6 14 18.35405 D͵͵
−7 13 17.32391 C♯͵͵/D♭͵͵
−8 12 16.35160 C͵͵
